| epoch   1 | 66000/237767 batches | lr 9.941057e-05 | ms/batch 120.52 | loss  4.53 
| epoch   1 | 67000/237767 batches | lr 9.940004e-05 | ms/batch 121.59 | loss  4.53 
| epoch   1 | 68000/237767 batches | lr 9.938952e-05 | ms/batch 120.40 | loss  4.52 
| epoch   1 | 69000/237767 batches | lr 9.937899e-05 | ms/batch 121.64 | loss  4.51 
| epoch   1 | 70000/237767 batches | lr 9.936847e-05 | ms/batch 120.45 | loss  4.50 
| epoch   1 | 71000/237767 batches | lr 9.935794e-05 | ms/batch 121.26 | loss  4.50 
| epoch   1 | 72000/237767 batches | lr 9.934742e-05 | ms/batch 120.65 | loss  4.49 
| epoch   1 | 73000/237767 batches | lr 9.933689e-05 | ms/batch 121.21 | loss  4.48 
| epoch   1 | 74000/237767 batches | lr 9.932636e-05 | ms/batch 120.76 | loss  4.47 
| epoch   1 | 75000/237767 batches | lr 9.931584e-05 | ms/batch 120.99 | loss  4.47 
| epoch   1 | 76000/237767 batches | lr 9.930531e-05 | ms/batch 121.06 | loss  4.46 
| epoch   1 | 77000/237767 batches | lr 9.929479e-05 | ms/batch 121.04 | loss  4.46 
| epoch   1 | 78000/237767 batches | lr 9.928426e-05 | ms/batch 121.15 | loss  4.45 
| epoch   1 | 79000/237767 batches | lr 9.927374e-05 | ms/batch 120.88 | loss  4.44 
| epoch   1 | 80000/237767 batches | lr 9.926321e-05 | ms/batch 121.44 | loss  4.44 
| epoch   1 | 81000/237767 batches | lr 9.925269e-05 | ms/batch 120.61 | loss  4.43 
| epoch   1 | 82000/237767 batches | lr 9.924216e-05 | ms/batch 121.73 | loss  4.42 
| epoch   1 | 83000/237767 batches | lr 9.923163e-05 | ms/batch 120.52 | loss  4.42 
| epoch   1 | 84000/237767 batches | lr 9.922111e-05 | ms/batch 122.27 | loss  4.40 
| epoch   1 | 85000/237767 batches | lr 9.921058e-05 | ms/batch 120.54 | loss  4.40 
| epoch   1 | 86000/237767 batches | lr 9.920006e-05 | ms/batch 121.23 | loss  4.39 
| epoch   1 | 87000/237767 batches | lr 9.918953e-05 | ms/batch 120.70 | loss  4.39 
| epoch   1 | 88000/237767 batches | lr 9.917901e-05 | ms/batch 121.26 | loss  4.39 
| epoch   1 | 89000/237767 batches | lr 9.916848e-05 | ms/batch 120.77 | loss  4.38 
| epoch   1 | 90000/237767 batches | lr 9.915796e-05 | ms/batch 121.07 | loss  4.37 
| epoch   1 | 91000/237767 batches | lr 9.914743e-05 | ms/batch 120.92 | loss  4.37 
| epoch   1 | 92000/237767 batches | lr 9.913690e-05 | ms/batch 121.00 | loss  4.36 
| epoch   1 | 93000/237767 batches | lr 9.912638e-05 | ms/batch 121.12 | loss  4.36 
| epoch   1 | 94000/237767 batches | lr 9.911585e-05 | ms/batch 120.74 | loss  4.34 
| epoch   1 | 95000/237767 batches | lr 9.910533e-05 | ms/batch 121.20 | loss  4.34 
| epoch   1 | 96000/237767 batches | lr 9.909480e-05 | ms/batch 120.55 | loss  4.35 
| epoch   1 | 97000/237767 batches | lr 9.908428e-05 | ms/batch 121.61 | loss  4.33 
| epoch   1 | 98000/237767 batches | lr 9.907375e-05 | ms/batch 120.55 | loss  4.33 
| epoch   1 | 99000/237767 batches | lr 9.906322e-05 | ms/batch 121.78 | loss  4.32 
| epoch   1 | 100000/237767 batches | lr 9.905270e-05 | ms/batch 120.50 | loss  4.30 
| epoch   1 | 101000/237767 batches | lr 9.904217e-05 | ms/batch 121.62 | loss  4.30 
| epoch   1 | 102000/237767 batches | lr 9.903165e-05 | ms/batch 120.55 | loss  4.31 
| epoch   1 | 103000/237767 batches | lr 9.902112e-05 | ms/batch 121.38 | loss  4.31 
| epoch   1 | 104000/237767 batches | lr 9.901060e-05 | ms/batch 120.77 | loss  4.30 
| epoch   1 | 105000/237767 batches | lr 9.900007e-05 | ms/batch 121.36 | loss  4.30 
| epoch   1 | 106000/237767 batches | lr 9.898955e-05 | ms/batch 121.30 | loss  4.29 
| epoch   1 | 107000/237767 batches | lr 9.897902e-05 | ms/batch 121.19 | loss  4.30 
| epoch   1 | 108000/237767 batches | lr 9.896849e-05 | ms/batch 121.12 | loss  4.27 
| epoch   1 | 109000/237767 batches | lr 9.895797e-05 | ms/batch 121.11 | loss  4.27 
| epoch   1 | 110000/237767 batches | lr 9.894744e-05 | ms/batch 121.44 | loss  4.27 
| epoch   1 | 111000/237767 batches | lr 9.893692e-05 | ms/batch 120.77 | loss  4.27 
| epoch   1 | 112000/237767 batches | lr 9.892639e-05 | ms/batch 121.59 | loss  4.26 
| epoch   1 | 113000/237767 batches | lr 9.891587e-05 | ms/batch 120.57 | loss  4.25 
| epoch   1 | 114000/237767 batches | lr 9.890534e-05 | ms/batch 121.97 | loss  4.25 
| epoch   1 | 115000/237767 batches | lr 9.889482e-05 | ms/batch 120.60 | loss  4.25 
| epoch   1 | 116000/237767 batches | lr 9.888429e-05 | ms/batch 121.70 | loss  4.25 
| epoch   1 | 117000/237767 batches | lr 9.887376e-05 | ms/batch 120.66 | loss  4.23 
| epoch   1 | 118000/237767 batches | lr 9.886324e-05 | ms/batch 121.66 | loss  4.22 
| epoch   1 | 119000/237767 batches | lr 9.885271e-05 | ms/batch 120.77 | loss  4.22 
| epoch   1 | 120000/237767 batches | lr 9.884219e-05 | ms/batch 121.32 | loss  4.22 
| epoch   1 | 121000/237767 batches | lr 9.883166e-05 | ms/batch 121.21 | loss  4.22 
| epoch   1 | 122000/237767 batches | lr 9.882114e-05 | ms/batch 121.35 | loss  4.21 
| epoch   1 | 123000/237767 batches | lr 9.881061e-05 | ms/batch 120.97 | loss  4.22 
| epoch   1 | 124000/237767 batches | lr 9.880009e-05 | ms/batch 120.96 | loss  4.20 
| epoch   1 | 125000/237767 batches | lr 9.878956e-05 | ms/batch 121.20 | loss  4.21 
