| epoch   1 | 66000/297209 batches | lr 9.810944e-05 | ms/batch 119.96 | loss  4.54 
| epoch   1 | 67000/297209 batches | lr 9.807568e-05 | ms/batch 119.95 | loss  4.53 
| epoch   1 | 68000/297209 batches | lr 9.804192e-05 | ms/batch 119.94 | loss  4.53 
| epoch   1 | 69000/297209 batches | lr 9.800816e-05 | ms/batch 120.12 | loss  4.52 
| epoch   1 | 70000/297209 batches | lr 9.797440e-05 | ms/batch 119.74 | loss  4.51 
| epoch   1 | 71000/297209 batches | lr 9.794064e-05 | ms/batch 120.09 | loss  4.50 
| epoch   1 | 72000/297209 batches | lr 9.790688e-05 | ms/batch 119.79 | loss  4.49 
| epoch   1 | 73000/297209 batches | lr 9.787312e-05 | ms/batch 119.83 | loss  4.49 
| epoch   1 | 74000/297209 batches | lr 9.783936e-05 | ms/batch 119.97 | loss  4.48 
| epoch   1 | 75000/297209 batches | lr 9.780560e-05 | ms/batch 119.84 | loss  4.47 
| epoch   1 | 76000/297209 batches | lr 9.777184e-05 | ms/batch 120.06 | loss  4.46 
| epoch   1 | 77000/297209 batches | lr 9.773808e-05 | ms/batch 119.83 | loss  4.45 
| epoch   1 | 78000/297209 batches | lr 9.770432e-05 | ms/batch 120.11 | loss  4.46 
| epoch   1 | 79000/297209 batches | lr 9.767056e-05 | ms/batch 119.92 | loss  4.44 
| epoch   1 | 80000/297209 batches | lr 9.763680e-05 | ms/batch 119.93 | loss  4.42 
| epoch   1 | 81000/297209 batches | lr 9.760304e-05 | ms/batch 120.07 | loss  4.43 
| epoch   1 | 82000/297209 batches | lr 9.756928e-05 | ms/batch 120.01 | loss  4.42 
| epoch   1 | 83000/297209 batches | lr 9.753552e-05 | ms/batch 120.21 | loss  4.41 
| epoch   1 | 84000/297209 batches | lr 9.750176e-05 | ms/batch 120.05 | loss  4.41 
| epoch   1 | 85000/297209 batches | lr 9.746800e-05 | ms/batch 120.07 | loss  4.39 
| epoch   1 | 86000/297209 batches | lr 9.743424e-05 | ms/batch 120.04 | loss  4.39 
| epoch   1 | 87000/297209 batches | lr 9.740048e-05 | ms/batch 120.00 | loss  4.39 
| epoch   1 | 88000/297209 batches | lr 9.736672e-05 | ms/batch 120.18 | loss  4.38 
| epoch   1 | 89000/297209 batches | lr 9.733296e-05 | ms/batch 119.97 | loss  4.39 
| epoch   1 | 90000/297209 batches | lr 9.729920e-05 | ms/batch 120.27 | loss  4.37 
| epoch   1 | 91000/297209 batches | lr 9.726544e-05 | ms/batch 119.98 | loss  4.35 
| epoch   1 | 92000/297209 batches | lr 9.723168e-05 | ms/batch 120.08 | loss  4.36 
| epoch   1 | 93000/297209 batches | lr 9.719792e-05 | ms/batch 120.09 | loss  4.36 
| epoch   1 | 94000/297209 batches | lr 9.716416e-05 | ms/batch 119.90 | loss  4.35 
| epoch   1 | 95000/297209 batches | lr 9.713040e-05 | ms/batch 120.12 | loss  4.34 
| epoch   1 | 96000/297209 batches | lr 9.709664e-05 | ms/batch 119.85 | loss  4.34 
| epoch   1 | 97000/297209 batches | lr 9.706288e-05 | ms/batch 120.13 | loss  4.34 
| epoch   1 | 98000/297209 batches | lr 9.702912e-05 | ms/batch 119.92 | loss  4.32 
| epoch   1 | 99000/297209 batches | lr 9.699536e-05 | ms/batch 120.04 | loss  4.32 
| epoch   1 | 100000/297209 batches | lr 9.696160e-05 | ms/batch 120.13 | loss  4.31 
| epoch   1 | 101000/297209 batches | lr 9.692784e-05 | ms/batch 120.12 | loss  4.31 
| epoch   1 | 102000/297209 batches | lr 9.689408e-05 | ms/batch 120.21 | loss  4.30 
| epoch   1 | 103000/297209 batches | lr 9.686032e-05 | ms/batch 119.81 | loss  4.30 
| epoch   1 | 104000/297209 batches | lr 9.682657e-05 | ms/batch 120.03 | loss  4.31 
| epoch   1 | 105000/297209 batches | lr 9.679281e-05 | ms/batch 119.98 | loss  4.30 
| epoch   1 | 106000/297209 batches | lr 9.675905e-05 | ms/batch 120.14 | loss  4.29 
| epoch   1 | 107000/297209 batches | lr 9.672529e-05 | ms/batch 120.26 | loss  4.28 
| epoch   1 | 108000/297209 batches | lr 9.669153e-05 | ms/batch 120.17 | loss  4.28 
| epoch   1 | 109000/297209 batches | lr 9.665777e-05 | ms/batch 120.24 | loss  4.27 
| epoch   1 | 110000/297209 batches | lr 9.662401e-05 | ms/batch 119.92 | loss  4.27 
| epoch   1 | 111000/297209 batches | lr 9.659025e-05 | ms/batch 120.06 | loss  4.27 
| epoch   1 | 112000/297209 batches | lr 9.655649e-05 | ms/batch 119.96 | loss  4.26 
| epoch   1 | 113000/297209 batches | lr 9.652273e-05 | ms/batch 119.91 | loss  4.25 
| epoch   1 | 114000/297209 batches | lr 9.648897e-05 | ms/batch 120.08 | loss  4.25 
